Player,Nation,Position,Team,Age,Match,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Gls/90,Ast/90,xG/90,xAG/90
Nemanja Gudelj,SRB,Midfielder (MF),Sevilla,32,31,2493,1,1,6,0,"1,6","0,6","0,04","0,04","0,06","0,02"
Javier Guerra,ESP,Midfielder (MF),Valencia,21,36,2581,3,3,5,0,"2,2","3,2","0,1","0,1","0,08","0,11"
Ander Guevara,ESP,Midfielder (MF),Alavés,27,33,1947,0,1,3,0,"0,9","0,6",0,"0,05","0,04","0,03"
Pape Gueye,SEN,Midfielder (MF),Villarreal,25,34,2224,4,0,6,2,"3,4","1,1","0,16",0,"0,14","0,04"
Hugo Guillamón,ESP,Midfielder (MF),Valencia,24,12,364,0,0,2,0,"0,1",0,0,0,"0,02","0,01"
Carlos Guirao,ESP,Midfielder (MF),Betis,21,2,110,0,0,0,0,0,0,0,0,0,0
Arda Güler,TUR,Midfielder (MF),Real Madrid,19,28,1250,3,4,1,0,"3,3","4,5","0,22","0,29","0,24","0,32"
Gerard Gumbau,ESP,Midfielder (MF),Rayo Vallecano,29,22,849,0,1,4,0,"1,1","1,3",0,"0,11","0,11","0,14"
Jon Guridi,ESP,Midfielder (MF),Alavés,29,33,2080,3,1,6,0,"4,2","1,2","0,13","0,04","0,18","0,05"
Gorka Guruzeta,ESP,Forward (FW),Athletic Club,27,36,1840,7,2,2,0,"6,7","1,5","0,34","0,1","0,33","0,07"
Miguel Gutiérrez,ESP,Defender (DF),Girona,23,29,2458,1,5,4,0,"1,6","4,1","0,04","0,18","0,06","0,15"
Munir El Haddadi,MAR,Forward (FW),Leganés,28,25,862,4,0,1,1,"1,6","0,8","0,42",0,"0,16","0,08"
Sébastien Haller,CIV,Forward (FW),Leganés,30,8,404,0,0,0,0,"0,4","0,2",0,0,"0,09","0,05"
Henrique,BRA,Defender (DF),Valladolid,30,5,352,0,0,0,0,0,0,0,0,"0,01","0,01"
